section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment II B,Home > Divisions > Personnel and Establishment Division > Establishment II B,https://doe.gov.in/establishment-ii-b,,,,
Page Title,Main Heading,H1 Title,Establishment II B,Establishment II B,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Section Heading,Establishment II B,Establishment II B,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 1,Dearness Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 2,House Rent Allowance (including of HRA in lieu of rent from accommodation),https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 3,Transport Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 4,Classification/Upgradation of cities for the grant of HRA & Transport Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 5,Tough Location Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 6,Special (Duty) Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 7,Project Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 8,Bad Climate Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 9,Tribal Area Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 10,Special Compensatory (Remote Locality) Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 11,Island Special (Duty) Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 12,Hard Area Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 13,Split Duty Allowance,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 14,Parliament Questions relating to the subjects mentioned above,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 15,Public Grievances/RTI Matters relating to the subjects mentioned above,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 16,Cases requiring Sanctions of Cabinet Committee on Accommodation,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 17,"Proposals regarding additions/alteration in Government residences of Ministers/Judges/MPs in Delhi, exceeding expenditure limits.",https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 18,Policy matters having financial implications in respect of the following subjects which have been transferred to DOPT. (a) Reimbursement of Tuition Fees. (b) Children Education Assistance. (c) Overtime Allowance. (d) Honorarium (e) Special Allowance to Parliament Assistants. (f) Night Duty Allowance.,https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 19,"Proposals from Ministry of External Affairs: (a) Foreign Allowance Under IFS (PLCA) Rules, Hardship Allowance, Insurance for India based officials posted in Mission/posts abroad (b) Representational Grant, Compensatory Casual Leave. (c) Bhutan Compensatory Allowance.",https://doe.gov.in/establishment-ii-b,,,,
Divisions,Establishment II B,Bullet Point,Establishment II B - Point 20,Proposal from Department of Legal Affairs/Department of Revenue for revision of rates of Retainership Fee/Fee payable to Law Officers/Central Govt. standing counsels.,https://doe.gov.in/establishment-ii-b,,,,
